+-----------+--------------+-------+-----------+------------------+---------------+---------------+
| problemid | type         | level | algorithm | source           | free_solution | free_testdata |
| PASCAL    | combat       |     1 |      NULL | SWERC 16         |             0 |             0 |
| PERFORM   | combat       |     1 |      NULL | SWERC 16         |             0 |             0 |
| RAZGOVO   | combat       |     1 |      NULL | COCI             |             0 |             0 |
| SJECIST   | combat       |     1 |      NULL | COCI             |             0 |             0 |
| SVADA     | combat       |     1 |      NULL | COCI             |             0 |             0 |
| TABLICA   | combat       |     1 |      NULL | COCI             |             0 |             0 |
| TURBO     | combat       |     1 |      NULL | COCI             |             0 |             0 |
| VUK       | combat       |     1 |      NULL | COCI             |             0 |             0 |
| ZAPIS     | combat       |     1 |      NULL | COCI             |             0 |             0 |
| ZBRKA     | combat       |     1 |      NULL | COCI             |             0 |             0 |
| ZUMA      | combat       |     1 |      NULL | COCI             |             0 |             0 |
| BICIKLI   | combat       |     2 |      NULL | COCI             |             0 |             0 |
| BRIBING   | combat       |     2 |      NULL | SWERC 16         |             0 |             0 |
| BST       | combat       |     2 |      NULL | COCI             |             0 |             0 |
| CIRCLE    | combat       |     2 |      NULL | COCI             |             0 |             0 |
| CUDAK     | combat       |     2 |      NULL | COCI             |             0 |             0 |
| DOSTAVA   | combat       |     2 |      NULL | COCI             |             0 |             0 |
| EXPECT    | combat       |     2 |      NULL | NEERC 16-17      |             0 |             0 |
| FIREFLY   | combat       |     2 |      NULL | COCI             |             0 |             0 |
| GENIJA    | combat       |     2 |      NULL | COCI             |             0 |             0 |
| IMPROVE   | combat       |     2 |      NULL | NEERC 14-15      |             0 |             0 |
| IRONCOA   | combat       |     2 |      NULL | NWERC 16         |             0 |             0 |
| IVANA     | combat       |     2 |      NULL | COCI             |             0 |             0 |
| JENGA     | combat       |     2 |      NULL | NEERC 16-17      |             0 |             0 |
| JUPITER   | combat       |     2 |      NULL | NWERC 16         |             0 |             0 |
| KABOOM    | combat       |     2 |      NULL | COCI             |             0 |             0 |
| LANDSIM   | combat       |     2 |      NULL | NEERC 15-16      |             0 |             0 |
| PASSWRD   | combat       |     2 |      NULL | SWERC 16         |             0 |             0 |
| PATULCI   | combat       |     2 |      NULL | COCI             |             0 |             0 |
| PRINCEZ   | combat       |     2 |      NULL | COCI             |             0 |             0 |
| PROGRAM   | combat       |     2 |      NULL | COCI             |             0 |             0 |
| RELJEF    | combat       |     2 |      NULL | COCI             |             0 |             0 |
| SETNJA    | combat       |     2 |      NULL | COCI             |             0 |             0 |
| SKAKAVA   | combat       |     2 |      NULL | COCI             |             0 |             0 |
| SREDNJI   | combat       |     2 |      NULL | COCI             |             0 |             0 |
| STJOHN    | combat       |     2 |      NULL | SWERC 15         |             0 |             0 |
| STOL      | combat       |     2 |      NULL | COCI             |             0 |             0 |
